date,treatment,sample,weight_g,size_cm
06/11/2016,TTA,TTA10,12.5842,3.411
06/11/2016,TTA,TTA11,15.5752,3.5165
06/11/2016,TTA,TTA12,9.6619,2.924
06/11/2016,TTA,TTA13,15.3335,3.3675
06/11/2016,TTA,TTA14,12.965,3.328
06/11/2016,TTA,TTA15,14.0491,3.472
06/11/2016,TTA,TTA16,19.4723,3.9095
06/11/2016,TTA,TTA17,16.92,3.5855
06/11/2016,TTA,TTA18,DEAD,DEAD
06/11/2016,TTA,TTA19,10.9399,3.1745
06/11/2016,TTA,TTA20,12.711,3.2975
06/11/2016,TTTC,TTTC1,11.453,3.233
06/11/2016,TTTC,TTTC2,7.9085,2.6765
06/11/2016,TTTC,TTTC3,12.16,3.218
06/11/2016,TTTC,TTTC4,10.653,3.07
06/11/2016,TTTC,TTTC5,21.7623,4.089
06/11/2016,TTTC,TTTC6,17.6301,3.757
06/11/2016,TTTC,TTTC7,11.3281,3.1265
06/11/2016,TTTC,TTTC8,12.5649,3.204
06/11/2016,TTTC,TTTC9,12.011,3.219
06/11/2016,TTTC,TTTC10,20.0089,4.1685
06/11/2016,TTTC,TTTC11,15.8496,3.6405
06/11/2016,TTTC,TTTC12,12.807,3.421
06/11/2016,TTTC,TTTC13,7.698,2.707
06/11/2016,TTTC,TTTC14,16.3368,3.7105
06/11/2016,TTTC,TTTC15,10.9053,3.1675
06/11/2016,TTTC,TTTC16,18.4372,4.0155
06/11/2016,TTTC,TTTC17,12.5134,3.248
06/11/2016,TTTC,TTTC18,8.0184,2.8755
06/11/2016,TTTC,TTTC19,14.4675,3.319
06/11/2016,TTTC,TTTC20,8.26,2.8695
06/11/2016,TTTM,TTTM1,17.6039,3.723
06/11/2016,TTTM,TTTM2,13.4059,3.373
06/11/2016,TTTM,TTTM3,8.1417,2.73
06/11/2016,TTTM,TTTM4,10.8402,3.0355
06/11/2016,TTTM,TTTM5,9.5792,3.023
06/11/2016,TTTM,TTTM6,18.5703,3.817
06/11/2016,TTTM,TTTM7,18.3434,3.7315
06/11/2016,TTTM,TTTM8,11.583,3.116
06/11/2016,TTTM,TTTM9,16.6103,3.7335
06/11/2016,TTTM,TTTM10,10.0394,3.0065
06/11/2016,TTTM,TTTM11,20.1505,3.9395
06/11/2016,TTTM,TTTM12,12.4225,3.2305
06/11/2016,TTTM,TTTM13,14.5938,3.306
06/11/2016,TTTM,TTTM14,20.9701,4.0145
06/11/2016,TTTM,TTTM15,18.3481,3.7805
06/11/2016,TTTM,TTTM16,19.4768,3.703
06/11/2016,TTTM,TTTM17,14.8252,3.411
06/11/2016,TTTM,TTTM18,22.9658,3.966
06/11/2016,TTTM,TTTM19,DEAD,DEAD
06/11/2016,TTTM,TTTM20,16.0593,3.8265
06/11/2016,TTTA,TTTA1,12.317,3.293
06/11/2016,TTTA,TTTA2,15.5797,3.55
06/11/2016,TTTA,TTTA3,8.1356,2.718
06/11/2016,TTTA,TTTA4,13.5863,3.4515
06/11/2016,TTTA,TTTA5,26.666,4.3525
06/11/2016,TTTA,TTTA6,8.842,2.819
06/11/2016,TTTA,TTTA7,24.7913,4.215
06/11/2016,TTTA,TTTA8,16.015,3.556
06/11/2016,TTTA,TTTA9,9.8076,3.0405
06/11/2016,TTTA,TTTA10,DEAD,DEAD
06/11/2016,TTTA,TTTA11,21.7579,3.9445
06/11/2016,TTTA,TTTA12,22.23,3.9475
06/11/2016,TTTA,TTTA13,12.9471,3.4535
06/11/2016,TTTA,TTTA14,11.8855,3.325
06/11/2016,TTTA,TTTA15,13.4912,3.431
06/11/2016,TTTA,TTTA16,14.577,3.421
06/11/2016,TTTA,TTTA17,15.7992,3.521
06/11/2016,TTTA,TTTA18,18.3855,3.6725
06/11/2016,TTTA,TTTA19,17.1695,3.6005
06/11/2016,TTTA,TTTA20,20.801,3.775
19/11/2016,TC,TC1,31.5847,4.3935
19/11/2016,TC,TC2,23.7051,4.016
19/11/2016,TC,TC3,28.5013,4.427
19/11/2016,TC,TC4,19.74,3.918
19/11/2016,TC,TC5,19.8219,4.192
19/11/2016,TC,TC6,25.9615,4.302
19/11/2016,TC,TC7,23.6658,4.105
19/11/2016,TC,TC8,19.9421,3.7505
19/11/2016,TC,TC9,33.7523,4.7265
